hospital_pk,collection_week,state,ccn,hospital_name,address,city,zip,hospital_subtype,fips_code,is_metro_micro,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_patients_hospitalized_confirmed_influenza_7_day_avg,icu_patients_confirmed_influenza_7_day_avg,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum,total_patients_hospitalized_confirmed_influenza_7_day_sum,icu_patients_confirmed_influenza_7_day_sum,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_sum,total_beds_7_day_coverage,all_adult_hospital_beds_7_day_coverage,all_adult_hospital_inpatient_beds_7_day_coverage,inpatient_beds_used_7_day_coverage,all_adult_hospital_inpatient_bed_occupied_7_day_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_coverage,total_adult_patients_hospitalized_confirmed_covid_7_day_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_coverage,total_pediatric_patients_hospitalized_confirmed_covid_7_day_coverage,inpatient_beds_7_day_coverage,total_icu_beds_7_day_coverage,total_staffed_adult_icu_beds_7_day_coverage,icu_beds_used_7_day_coverage,staffed_adult_icu_bed_occupancy_7_day_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_coverage,staffed_icu_adult_patients_confirmed_covid_7_day_coverage,total_patients_hospitalized_confirmed_influenza_7_day_coverage,icu_patients_confirmed_influenza_7_day_coverage,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_coverage,previous_day_admission_adult_covid_confirmed_7_day_sum,previous_day_admission_adult_covid_confirmed_18-19_7_day_sum,previous_day_admission_adult_covid_confirmed_20-29_7_day_sum,previous_day_admission_adult_covid_confirmed_30-39_7_day_sum,previous_day_admission_adult_covid_confirmed_40-49_7_day_sum,previous_day_admission_adult_covid_confirmed_50-59_7_day_sum,previous_day_admission_adult_covid_confirmed_60-69_7_day_sum,previous_day_admission_adult_covid_confirmed_70-79_7_day_sum,previous_day_admission_adult_covid_confirmed_80+_7_day_sum,previous_day_admission_adult_covid_confirmed_unknown_7_day_sum,previous_day_admission_pediatric_covid_confirmed_7_day_sum,previous_day_covid_ED_visits_7_day_sum,previous_day_admission_adult_covid_suspected_7_day_sum,previous_day_admission_adult_covid_suspected_18-19_7_day_sum,previous_day_admission_adult_covid_suspected_20-29_7_day_sum,previous_day_admission_adult_covid_suspected_30-39_7_day_sum,previous_day_admission_adult_covid_suspected_40-49_7_day_sum,previous_day_admission_adult_covid_suspected_50-59_7_day_sum,previous_day_admission_adult_covid_suspected_60-69_7_day_sum,previous_day_admission_adult_covid_suspected_70-79_7_day_sum,previous_day_admission_adult_covid_suspected_80+_7_day_sum,previous_day_admission_adult_covid_suspected_unknown_7_day_sum,previous_day_admission_pediatric_covid_suspected_7_day_sum,previous_day_total_ED_visits_7_day_sum,previous_day_admission_influenza_confirmed_7_day_sum
210027,44218,MD,210027,U P M C WESTERN MARYLAND,12500 WILLOWBROOK ROAD,CUMBERLAND,21502,Short Term,24001,TRUE,195,195,195,150.1,150.1,23.3,21.7,0,0,195,28,28,13.1,13.1,-999999,-999999,0,0,0,1365,1365,1365,1051,1051,163,152,0,0,1365,196,196,92,92,21,21,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,23,0,0,0,-999999,-999999,4,4,10,-999999,0,116,-999999,0,0,-999999,0,0,-999999,-999999,0,0,0,531,0
210043,44218,MD,210043,UMD BALTIMORE WASHINGTON  MEDICAL CENTER,301 HOSPITAL DRIVE,GLEN BURNIE,21061,Short Term,24003,TRUE,367.1,342.1,294,330.4,318.4,70.9,52,-999999,-999999,319,49.1,49.1,39.7,39.7,17.7,15.7,0,0,0,2570,2395,2058,2313,2229,496,364,-999999,-999999,2233,344,344,278,278,124,110,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,35,0,0,-999999,8,-999999,6,4,10,-999999,-999999,85,8,0,-999999,0,0,0,-999999,-999999,-999999,0,0,1230,0
210023,44218,MD,210023,ANNE ARUNDEL MEDICAL CENTER,2001 MEDICAL PARKWAY,ANNAPOLIS,21401,Short Term,24003,TRUE,439,429,316,306.3,305.1,101.7,85,-999999,-999999,326,38,38,29.1,29.1,12.3,12.3,0,0,0,3073,3003,2212,2144,2136,712,595,-999999,-999999,2282,266,266,204,204,86,86,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,82,0,-999999,13,7,16,13,19,12,0,0,92,39,0,11,8,-999999,-999999,4,7,4,0,7,1434,0
210015,44218,MD,210015,MEDSTAR FRANKLIN SQUARE MEDICAL CENTER,9000 FRANKLIN SQUARE DRIVE,BALTIMORE,21237,Short Term,24005,TRUE,547,471,380,348.1,320.4,72.6,55.3,-999999,0,407.4,64,40.1,50.6,32.6,14.4,12,0,0,0,3829,3297,2660,2437,2243,508,387,-999999,0,2852,448,281,354,228,101,84,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,59,0,-999999,-999999,4,7,15,9,20,0,0,632,289,-999999,22,20,25,46,58,54,62,0,0,1140,0
210063,44218,MD,210063,UNIVERSITY OF MD ST JOSEPH MEDICAL CENTER,7601 OSLER DRIVE,TOWSON,21204,Short Term,24005,TRUE,157.9,152.9,139.1,133.1,129.6,30.4,22.9,-999999,0,143.7,14.1,14.1,12.9,12.9,4,-999999,0,0,0,1105,1070,974,932,907,213,160,5,0,1006,99,99,90,90,28,22,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,25,0,-999999,-999999,-999999,-999999,-999999,-999999,12,0,0,0,39,0,4,-999999,-999999,-999999,5,7,15,0,4,624,0
210040,44218,MD,210040,NORTHWEST HOSPITAL CENTER,5401 OLD COURT ROAD,RANDALLSTOWN,21133,Short Term,24005,TRUE,183.4,183.4,134.4,122,120.7,48.7,33.4,0,0,134.4,36.1,21.3,19.4,19.1,10.7,7.7,0,0,0,1284,1284,941,854,845,341,234,0,0,941,253,149,136,134,75,54,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,27,0,0,-999999,-999999,4,8,6,6,0,0,0,47,0,-999999,4,-999999,9,13,11,6,0,0,678,0
210039,44218,MD,210039,CALVERTHEALTH MEDICAL CENTER,100 HOSPITAL ROAD,PRINCE FREDERICK,20678,Short Term,24009,TRUE,93.6,93.6,71.9,60.3,60.3,21.6,20.3,0,0,71.9,9.4,9.4,8.7,8.7,4.7,4.7,0,0,0,655,655,503,422,422,151,142,0,0,503,66,66,61,61,33,33,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,23,0,0,0,-999999,-999999,-999999,12,7,0,0,163,-999999,0,0,0,-999999,0,-999999,0,0,0,0,597,0
210033,44218,MD,210033,CARROLL HOSPITAL CENTER,200 MEMORIAL AVENUE,WESTMINSTER,21157,Short Term,24013,TRUE,206,203,163,139.7,137,29.6,17.7,0,0,166,13,13,7.9,7.9,-999999,-999999,0,0,0,1442,1421,1141,978,959,207,124,0,0,1162,91,91,55,55,24,10,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,28,0,0,0,-999999,4,4,6,12,0,0,0,47,0,0,0,5,4,12,9,17,0,0,634,0
210032,44218,MD,210032,UNION HOSPITAL OF CECIL COUNTY,106 BOW STREET,ELKTON,21921,Short Term,24015,TRUE,95.9,95.9,85.9,53.4,53.4,23.6,21.1,0,0,85.9,10.6,10.6,10.4,10.4,5.6,5.6,0,0,0,671,671,601,374,374,165,148,0,0,601,74,74,73,73,39,39,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,11,0,0,-999999,0,-999999,4,-999999,-999999,0,0,59,18,0,-999999,0,5,0,-999999,4,5,0,0,546,0
210035,44218,MD,210035,UMD CHARLES REGIONAL  MEDICAL CENTER,5 GARRETT AVENUE,LA PLATA,20646,Short Term,24017,TRUE,145.3,145.3,109.3,87.9,87.9,11.9,11.9,0,0,109.3,8.6,8.6,7.1,7.1,-999999,-999999,0,0,0,1017,1017,765,615,615,83,83,0,0,765,60,60,50,50,15,15,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,0,0,0,0,-999999,-999999,0,-999999,0,0,0,8,0,0,0,0,-999999,4,-999999,0,0,0,801,0
